id,name,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,dob_datetime,dob_ordinal,strike_efficiency_ratio,win_ratio,total_fights,weighted_strike_efficiency_ratio,sex,fighter_type,estilo,PC1,PC2,ape_index,BMI,BSA
db1f2ed63b54b9a7,Hector Lombard,,34,10,1,175.26,83.91,180.34,Southpaw,1978/02/02,3.02,46,3.35,53,1.69,48,77,0.5,1978-02-02,722117,0.9014925373134328,0.7727272727272727,12,0.9014925373134328,Male,0,Striker,0.4607096711919076,0.059119728867276525,1.028985507246377,27.32,2.021
9b1e3fb4f8cbd5b7,Ricky Rainey,The Sniper,12,6,0,185.42,77.11,195.58,Switch,1983/06/29,2.55,48,2.62,46,0.95,18,55,0.0,1983-06-29,724090,0.9732824427480915,0.6666666666666666,2,0.9732824427480915,Male,1,Wrestler,-0.6953457822287886,0.23008457140471908,1.0547945205479454,22.43,1.993
f12f979b657ab876,Dan Barrera,The Fireman,3,1,0,175.26,77.11,179.6079922426726,Orthodox,1980/12/23,0.8,70,1.2,28,1.0,8,0,0.0,1980-12-23,723172,0.6666666666666667,0.75,1,1.0121438149031123,Male,1,Wrestler,-0.1320155735345501,0.5110851309062926,1.0248088111529876,25.1,1.938
853eb0dd5c0e2149,Kai Kara-France,Don't Blink,25,12,0,162.56,56.7,175.26,Orthodox,1993/03/26,4.46,40,3.24,64,0.56,30,83,0.0,1993-03-26,727648,1.376543209876543,0.6756756756756757,13,1.376543209876543,Male,1,Wrestler,-0.8367286425608341,0.7639883824765569,1.078125,21.46,1.6
46d0a888d87d91ac,Abu Azaitar,Captain Morocco,14,4,1,175.26,83.91,193.04,Orthodox,1986/03/10,4.38,43,4.32,51,1.0,37,42,0.0,1986-03-10,725075,1.0138888888888888,0.7777777777777778,3,1.0138888888888888,Male,1,Wrestler,-0.3635400141176958,0.8430479636581755,1.1014492753623188,27.32,2.021
e92901944ce91909,Askar Mozharov,,19,13,0,190.5,92.99,187.96,Orthodox,1994/10/26,0.43,18,4.07,13,0.0,0,33,0.0,1994-10-26,728227,0.10565110565110564,0.59375,1,1.0121438149031123,Male,1,Wrestler,-2.697324779103798,-2.210897986358885,0.9866666666666667,25.62,2.218
82cbb809d5ee565c,Mara Romero Borella,,12,9,0,167.64,56.7,175.26,Orthodox,1986/06/03,2.54,37,2.48,71,1.83,44,66,0.2,1986-06-03,725160,1.0241935483870968,0.5714285714285714,7,1.0241935483870968,Female,0,Striker,-0.016692324921939426,-0.4919208706377427,1.0454545454545454,20.18,1.625
c62fbc117d57b943,Tai Tuivasa,Bam Bam,15,8,0,187.96,119.75,190.5,Southpaw,1993/03/16,3.77,46,5.18,44,0.0,0,57,0.0,1993-03-16,727638,0.7277992277992278,0.6521739130434783,16,0.7277992277992278,Male,1,Wrestler,-1.6043371918836762,0.7769837601261346,1.0135135135135134,33.9,2.5
d0e1b42d41dab603,Julian Marquez,The Cuban Missile Crisis,9,6,0,187.96,83.91,182.88,Orthodox,1990/05/08,5.06,45,5.35,50,0.0,0,54,2.6,1990-05-08,726595,0.9457943925233645,0.6,8,0.9457943925233645,Male,1,Wrestler,-0.7604280627295382,0.0792672206036096,0.9729729729729729,23.75,2.093
0a95c474e61a6c44,Adam Yandiev,Boroda,9,1,0,175.26,83.91,187.96,Orthodox,1988/08/07,0.18,8,6.14,36,0.0,0,25,0.0,1988-08-07,725956,0.029315960912052116,0.9,1,1.0121438149031123,Male,1,Wrestler,-3.072029879989605,-2.8346221472694584,1.0724637681159421,27.32,2.021
751de04455cfaac0,Calvin Kattar,,23,10,0,180.34,65.77,182.88,Orthodox,1988/03/26,4.41,37,6.55,54,0.34,29,77,0.1,1988-03-26,725822,0.6732824427480917,0.696969696969697,15,0.6732824427480917,Male,1,Wrestler,-1.0361708910958287,0.5592948793941058,1.0140845070422535,20.22,1.815
